==> Starting concretization pool with 16 processes
==> Environment concretized in 34.60 seconds.
==> Concretized bacio@2.4.1
[+]  3tq3ucx  bacio@2.4.1%clang@15.0.7~ipo+pic build_system=cmake build_type=RelWithDebInfo arch=linux-ubuntu20.04-x86_64
[+]  pu2xhtk      ^cmake@3.25.1%clang@15.0.7~doc+ncurses+ownlibs~qt build_system=generic build_type=Release arch=linux-ubuntu20.04-x86_64
[+]  4cm6zvv          ^ncurses@6.4%clang@15.0.7~symlinks+termlib abi=none build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  u33sw3n              ^pkgconf@1.8.0%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  nwb64bl          ^openssl@1.1.1s%clang@15.0.7~docs~shared build_system=generic certs=mozilla arch=linux-ubuntu20.04-x86_64
[+]  un6lzcz              ^ca-certificates-mozilla@2023-01-10%clang@15.0.7 build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  wky6cx4              ^perl@5.36.0%clang@15.0.7+cpanm+open+shared+threads build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  gzf6qg7                  ^berkeley-db@18.1.40%clang@15.0.7+cxx~docs+stl build_system=autotools patches=26090f4,b231fcc arch=linux-ubuntu20.04-x86_64
[+]  67euane                  ^bzip2@1.0.8%clang@15.0.7~debug~pic+shared build_system=generic arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo                      ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  wzkvj5r                          ^libiconv@1.17%clang@15.0.7 build_system=autotools libs=shared,static arch=linux-ubuntu20.04-x86_64
[+]  vtofipc                  ^gdbm@1.23%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ah5hl53                      ^readline@8.2%clang@15.0.7 build_system=autotools patches=bbf97f1 arch=linux-ubuntu20.04-x86_64
[+]  gtfrfkd              ^zlib@1.2.13%clang@15.0.7+optimize+pic+shared build_system=makefile arch=linux-ubuntu20.04-x86_64

==> Concretized bison@3.8.2
[+]  w7cbf34  bison@3.8.2%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
[+]  ydxpppo      ^diffutils@3.8%clang@15.0.7 build_system=autotools arch=linux-ubuntu20.04-x86_64
